start station name,Number of Riders,start station latitude,start station longitude,month
Grove St PATH,2307,40.71958611647034,-74.0431174635887,April
Exchange Place,1451,40.71624690000125,-74.03345879999794,April
Hamilton Park,1270,40.727595965998745,-74.04424731100121,April
Sip Ave,1218,40.73074262530769,-74.06378388404845,April
Newport PATH,961,40.727223499998985,-74.0337588999987,April
Morris Canal,880,40.71241882375742,-74.03852552175522,April
Newport Pkwy,728,40.728744799999625,-74.03210820000052,April
Warren St,695,40.72112360000023,-74.03805095000062,April
Newark Ave,676,40.721525149999415,-74.04630454300047,April
City Hall,666,40.717732500000274,-74.04384500000013,April
Van Vorst Park,665,40.71848891999982,-74.0477266250012,April
Liberty Light Rail,597,40.71124229999989,-74.0557012999998,April
Paulus Hook,588,40.714145400000156,-74.0335519,April
Essex Light Rail,587,40.712774200000155,-74.03648570000014,April
Marin Light Rail,584,40.71458403535874,-74.04281705617905,April
Brunswick St,566,40.72417649999989,-74.05065640000021,April
Columbus Drive,510,40.71835519823206,-74.03891444206238,April
JC Medical Center,484,40.7165397809916,-74.0496379137039,April
Jersey & 6th St,470,40.7252891078112,-74.04557168483734,April
Jersey & 3rd,441,40.723331586464674,-74.04595255851744,April
Monmouth and 6th,434,40.725685483628915,-74.0487903356552,April
McGinley Square,401,40.72533992535545,-74.06762212514876,April
Oakland Ave,384,40.737603699999816,-74.05247830000006,April
Brunswick & 6th,378,40.72601172964639,-74.0503889322281,April
Manila & 1st,372,40.72165072487988,-74.04288411140442,April
Dixon Mills,343,40.72163014263828,-74.04996782541275,April
Baldwin at Montgomery,275,40.72365890000022,-74.06419429999987,April
Lincoln Park,216,40.72460509988677,-74.07840594649316,April
Pershing Field,200,40.74267714100005,-74.0517886329999,April
5 Corners Library,175,40.734961020009656,-74.05950307846071,April
Lafayette Park,165,40.71346382669185,-74.06285852193831,April
Hilltop,159,40.7311688999999,-74.05757359999977,April
Christ Hospital,156,40.73478581800008,-74.05044363600011,April
Garfield Ave Station,139,40.71046702337966,-74.07003879547119,April
Heights Elevator,127,40.74871594538028,-74.04044330120088,April
Central Ave,120,40.7467299,-74.04925089999982,April
North St,119,40.75255899999995,-74.04472499999991,April
Astor Place,115,40.71928220070701,-74.07126188278198,April
Dey St,104,40.7377110000001,-74.06692099999987,April
Riverview Park,101,40.74431869999992,-74.0439908999999,April
Leonard Gordon Park,99,40.74590996631559,-74.05727148056029,April
Communipaw & Berry Lane,55,40.71435836870431,-74.06661093235016,April
NJCU,49,40.710108700000035,-74.08584890000009,April
Union St,40,40.718211299999965,-74.08363939999995,April
West Side Light Rail,25,40.71440199999998,-74.08877230000003,April
Columbia Park,23,40.69702989999998,-74.09693659999995,April
MLK Light Rail,23,40.711130499999975,-74.07888550000003,April
Danforth Light Rail,22,40.69263996618327,-74.08801227807997,April
Bayside Park,13,40.69865054399999,-74.082079678,April
Bethune Center,10,40.704957516728605,-74.08593088388444,April
