start station name,Number of Riders,start station latitude,start station longitude,month
Grove St PATH,4104,40.71958611646822,-74.0431174635887,August
Exchange Place,2410,40.71624690000201,-74.03345879999752,August
Hamilton Park,2410,40.727595966000074,-74.0442473109975,August
Sip Ave,1665,40.73074262530833,-74.06378388404845,August
Morris Canal,1550,40.7124188237575,-74.03852552175522,August
Newport PATH,1440,40.72722349999873,-74.03375889999825,August
Warren St,1324,40.721123600000254,-74.03805094999925,August
Newport Pkwy,1238,40.72874479999929,-74.0321082000007,August
Newark Ave,1132,40.72152515000003,-74.04630454299893,August
Essex Light Rail,1080,40.71277420000061,-74.03648569999977,August
Van Vorst Park,1053,40.718488919999814,-74.04772662500028,August
Marin Light Rail,1019,40.71458403535949,-74.04281705617905,August
Liberty Light Rail,982,40.71124229999988,-74.0557013000005,August
Columbus Drive,970,40.71835519823142,-74.03891444206238,August
Paulus Hook,908,40.714145400000504,-74.03355189999982,August
Jersey & 3rd,886,40.723331586464866,-74.04595255851744,August
City Hall,882,40.71773250000049,-74.04384500000013,August
Brunswick St,881,40.72417649999989,-74.05065640000102,August
McGinley Square,770,40.7253399253561,-74.06762212514876,August
Jersey & 6th St,759,40.72528910781061,-74.04557168483734,August
Brunswick & 6th,705,40.7260117296464,-74.0503889322281,August
Dixon Mills,642,40.72163014263809,-74.04996782541275,August
JC Medical Center,616,40.71653978099154,-74.0496379137039,August
Manila & 1st,594,40.721650724880334,-74.04288411140442,August
Monmouth and 6th,576,40.725685483629306,-74.0487903356552,August
Oakland Ave,553,40.73760369999971,-74.05247830000006,August
Baldwin at Montgomery,466,40.72365890000003,-74.06419430000031,August
Pershing Field,338,40.74267714099969,-74.05178863300053,August
Hilltop,335,40.731168899999865,-74.05757359999946,August
Christ Hospital,321,40.73478581800008,-74.05044363599981,August
Lafayette Park,314,40.71346382669207,-74.06285852193831,August
Astor Place,291,40.71928220070719,-74.07126188278198,August
5 Corners Library,275,40.73496102000951,-74.05950307846071,August
Heights Elevator,273,40.748715945380084,-74.04044330120088,August
Lincoln Park,266,40.724605099886894,-74.07840594649316,August
Riverview Park,265,40.74431870000012,-74.04399090000008,August
Leonard Gordon Park,253,40.74590996631559,-74.05727148056029,August
Dey St,176,40.73771099999996,-74.06692099999977,August
Garfield Ave Station,165,40.71046702337961,-74.07003879547119,August
Communipaw & Berry Lane,138,40.71435836870419,-74.06661093235016,August
York St,132,40.71648999999989,-74.04104999999987,August
Union St,119,40.718211299999915,-74.08363939999987,August
West Side Light Rail,40,40.71440200000001,-74.08877230000004,August
Columbia Park,39,40.697029899999976,-74.09693659999995,August
Bayside Park,36,40.69865054399998,-74.08207967799994,August
Danforth Light Rail,34,40.6926399661833,-74.08801227807997,August
MLK Light Rail,21,40.71113049999998,-74.07888550000001,August
NJCU,20,40.71010869999999,-74.08584889999999,August
Bethune Center,6,40.704957516728605,-74.08593088388444,August
