start station name,Number of Riders,start station latitude,start station longitude,month
Grove St PATH,2220,40.71958611647053,-74.0431174635887,December
Hamilton Park,1214,40.72759596599885,-74.0442473110012,December
Exchange Place,929,40.71624690000017,-74.03345879999854,December
Sip Ave,890,40.73074262530681,-74.06378388404845,December
Newport PATH,702,40.72722349999926,-74.0337588999992,December
Morris Canal,641,40.712418823757346,-74.03852552175522,December
Van Vorst Park,466,40.71848891999983,-74.04772662500093,December
Harborside,442,40.71925170000023,-74.03423399999956,December
Newport Pkwy,439,40.72874480000015,-74.03210820000027,December
Jersey & 3rd,427,40.72333158646467,-74.04595255851744,December
Newark Ave,425,40.72152515000005,-74.0463045430004,December
Paulus Hook,421,40.71414539999976,-74.0335519,December
City Hall,417,40.717732499999755,-74.04384500000013,December
Jersey & 6th St,400,40.725289107811456,-74.04557168483734,December
Brunswick & 6th,364,40.72601172964639,-74.0503889322281,December
Warren St,350,40.72112360000018,-74.03805094999944,December
Marin Light Rail,336,40.71458403535875,-74.04281705617905,December
Brunswick St,327,40.7241764999999,-74.05065639999982,December
Monmouth and 6th,313,40.725685483628816,-74.0487903356552,December
Essex Light Rail,304,40.71277419999982,-74.03648569999984,December
Columbus Drive,300,40.71835519823239,-74.03891444206238,December
Manila & 1st,298,40.72165072487997,-74.04288411140442,December
McGinley Square,283,40.72533992535564,-74.06762212514876,December
Dixon Mills,273,40.72163014263838,-74.04996782541275,December
Washington St,252,40.72429410000023,-74.03548260000017,December
JC Medical Center,244,40.71653978099191,-74.0496379137039,December
Oakland Ave,224,40.73760370000008,-74.05247830000006,December
Liberty Light Rail,211,40.71124229999991,-74.05570129999981,December
Baldwin at Montgomery,189,40.72365890000014,-74.06419429999967,December
Astor Place,169,40.719282200707106,-74.07126188278198,December
Pershing Field,157,40.74267714100005,-74.0517886329999,December
Journal Square,142,40.733669999999925,-74.0625,December
York St,137,40.71648999999988,-74.04104999999987,December
Christ Hospital,120,40.73478581800007,-74.05044363599995,December
Hilltop,114,40.73116889999992,-74.05757360000003,December
Leonard Gordon Park,112,40.74590996631559,-74.05727148056029,December
Lincoln Park,110,40.72460509988691,-74.07840594649316,December
Heights Elevator,81,40.74871594538025,-74.04044330120088,December
5 Corners Library,79,40.73496102000948,-74.05950307846071,December
Lafayette Park,79,40.71346382669197,-74.06285852193831,December
Riverview Park,72,40.74431869999993,-74.04399089999998,December
Dey St,62,40.73771100000003,-74.06692100000002,December
Communipaw & Berry Lane,48,40.71435836870431,-74.06661093235016,December
Union St,35,40.71821129999997,-74.08363939999998,December
Garfield Ave Station,30,40.710467023379714,-74.07003879547119,December
NJCU,14,40.71010869999999,-74.08584889999999,December
MLK Light Rail,9,40.711130499999996,-74.0788855,December
Bayside Park,7,40.69865054400001,-74.082079678,December
West Side Light Rail,7,40.714402,-74.0887723,December
Columbia Park,6,40.6970299,-74.09693659999999,December
Bethune Center,5,40.70495751672861,-74.08593088388444,December
Danforth Light Rail,2,40.69263996618329,-74.08801227807997,December
