end station name,Number of Riders,end station latitude,end station longitude
11 Ave & W 41 St,2,40.76030096,-73.99884222
12 Ave & W 40 St,11,40.76087502000001,-74.00277668
5 Corners Library,1691,40.734961020009614,-74.05950307853804
6 Ave & Canal St,1,40.72243797,-74.00566443
6 Ave & Spring St,4,40.7252556952547,-74.00412082672119
8 Ave & W 16 St,2,40.740983,-74.00170200000002
8 Ave & W 52 St,2,40.76370739,-73.9851615
Allen St & Rivington St,1,40.72019576,-73.98997825
Amsterdam Ave & W 73 St,1,40.779668090073116,-73.98093044757842
Astor Place,2166,40.719282200666946,-74.07126188262913
Baldwin at Montgomery,3105,40.723658899997965,-74.06419430000192
Bank St & Washington St,2,40.7361967,-74.00859207
Barclay St & Church St,1,40.71291224,-74.01020234
Barrow St & Hudson St,1,40.73172428,-74.00674436
Bayside Park,217,40.69865054396312,-74.08207967801879
Bethune Center,61,40.70495751678224,-74.08593088382077
Broadway & Battery Pl,1,40.70463334,-74.01361706
Broadway & W 24 St,1,40.7423543,-73.98915076
Broadway & W 29 St,1,40.7462009,-73.98855723
Broadway & W 36 St,5,40.75097711,-73.98765428
Broadway & W 38 St,1,40.75299641,-73.98721619
Brunswick & 6th,6004,40.72601172966535,-74.05038893211758
Brunswick St,6619,40.724176499997924,-74.0506563999931
Bus Slip & State St,1,40.701907,-74.013942
Cathedral Pkwy & Broadway,1,40.804213,-73.96699104
Central Ave,761,40.74672990000085,-74.04925090000116
Centre St & Worth St,1,40.71494807,-74.00234482
Christ Hospital,1564,40.734785818047406,-74.05044363609682
Christopher St & Greenwich St,1,40.73291553,-74.00711384
City Hall,8848,40.71773249999514,-74.04384499998778
Clinton Ave & Myrtle Ave,2,40.693261,-73.968896
Columbia Park,252,40.69702990000024,-74.09693660000022
Columbus Drive,6815,40.71835519830226,-74.03891444198618
Communipaw & Berry Lane,889,40.71435836873895,-74.06661093228671
Danforth Light Rail,299,40.69263996638731,-74.08801227818273
Dey St,1601,40.73771100000115,-74.06692100000184
Dixon Mills,4910,40.7216301424866,-74.04996782568453
Duane St & Greenwich St,2,40.71748752,-74.0104554
E 15 St & 3 Ave,1,40.734232,-73.986923
E 3 St & 1 Ave,1,40.72467721,-73.98783413
E 4 St & 2 Ave,1,40.7262807,-73.98978041
E 48 St & 5 Ave,2,40.75724567911726,-73.97805914282799
E 7 St & Avenue A,1,40.72621788,-73.98379855
Essex Light Rail,8030,40.71277419999813,-74.03648570000247
Exchange Place,23912,40.71624690000865,-74.0334588000379
Franklin St & W Broadway,1,40.71911552,-74.00666661
Fulton St & Broadway,1,40.711066,-74.009447
Garfield Ave Station,1153,40.71046702326867,-74.07003879562043
Greenwich Ave & 8 Ave,2,40.7390169121,-74.0026376103
Greenwich Ave & Charles St,2,40.735238,-74.000271
Greenwich St & Hubert St,7,40.721319,-74.01006500000001
Grove St PATH,44940,40.71958611666667,-74.04311746340923
Hamilton Park,17714,40.727595966160656,-74.04424731095827
Harborside,2045,40.71925169999874,-74.03423400000116
Heights Elevator,1844,40.74871594549527,-74.04044330117092
Hilltop,1722,40.731168899999766,-74.05757360000192
Hs Don't Use,599,40.71925170740995,-74.03423398733139
Hudson St & Reade St,1,40.71625008,-74.0091059
Indiana,1,0.0,0.0
JC Medical Center,5567,40.71653978095242,-74.0496379135662
JCBS Depot,90,40.70965083364068,-74.0686011314392
JSQ Don't Use,248,0.0,0.0
Jersey & 3rd,6377,40.723331586627054,-74.04595255858774
Jersey & 6th St,5196,40.72528910790971,-74.04557168462875
Journal Square,605,40.7336700000003,-74.0625
LaGuardia Pl & W 3 St,1,40.72917025,-73.99810231
Lafayette Park,2249,40.71346382677068,-74.06285852189177
Leonard Gordon Park,1523,40.745909966388545,-74.05727148054926
Liberty Light Rail,6992,40.71124229999762,-74.05570129999177
Liberty St & Broadway,1,40.70905623,-74.01043382
Lincoln Park,2651,40.724605099889125,-74.07840594663602
Little West St & 1 Pl,4,40.70569254,-74.01677685
MLK Light Rail,196,40.7111304999999,-74.07888549999966
MacDougal St & Prince St,2,40.72710258,-74.00297088
Manila & 1st,5237,40.72165072462208,-74.04288411132987
Marin Light Rail,7951,40.71458403554969,-74.04281705633807
McGinley Square,4442,40.725339925604644,-74.06762212541082
Monmouth and 6th,5015,40.72568548345376,-74.04879033586654
Morris Canal,10369,40.71241882356428,-74.03852552166813
Murray St & Greenwich St,3,40.71485150526252,-74.01122331619263
Murray St & West St,3,40.7149787,-74.013012
NJCU,439,40.71010869999974,-74.08584889999929
Newark Ave,8302,40.72152515000172,-74.04630454287029
Newport PATH,13400,40.727223500013395,-74.03375890001007
Newport Pkwy,8460,40.728744800005856,-74.03210820000632
North St,763,40.752559000000296,-74.04472499999977
Oakland Ave,3509,40.73760370000223,-74.05247830000006
Old Fulton St,1,40.70277159,-73.99383605
Paulus Hook,8182,40.714145399997854,-74.03355189999711
Pershing Field,2525,40.742677140962634,-74.05178863288963
Pershing Square South,1,40.751581,-73.97791
Pier 40 - Hudson River Park,16,40.727714077777804,-74.01129573583603
Pike St & E Broadway,3,40.71406667,-73.99293911
Riverside Blvd & W 67 St,1,40.777507027547976,-73.98888587951659
Riverside Dr & W 104 St,2,40.8013434,-73.97114574390001
Riverview Park,1447,40.74431870000098,-74.04399089999873
Sip Ave,14118,40.73074262555852,-74.06378388383412
South End Ave & Liberty St,12,40.71151199999999,-74.01575600000002
South St & Gouverneur Ln,2,40.70355377,-74.00670227
South St & Whitehall St,1,40.70122128,-74.01234218
Spruce St & Nassau St,1,40.71146364,-74.00552427
Union St,845,40.71821130000085,-74.08363939999983
Van Vorst Park,7881,40.718488920008404,-74.04772662520462
Vesey Pl & River Terrace,21,40.7153379,-74.01658354000003
W 100 St & Manhattan Ave,1,40.795,-73.9645
W 13 St & 5 Ave,1,40.73543934,-73.99453948
W 13 St & 6 Ave,1,40.73649403,-73.99704374
W 13 St & Hudson St,1,40.73997354103409,-74.00513872504234
W 14 St & The High Line,1,40.74195138,-74.00803013
W 15 St & 10 Ave,2,40.742753828659026,-74.00747358798982
W 15 St & 7 Ave,1,40.73935542,-73.99931783
W 16 St & The High Line,3,40.74334935,-74.00681753
W 20 St & 11 Ave,2,40.746745,-74.007756
W 20 St & 8 Ave,1,40.74345335,-74.00004031
W 21 St & 6 Ave,1,40.74173969,-73.99415556
W 22 St & 10 Ave,1,40.74691959,-74.00451887
W 24 St & 7 Ave,1,40.74487634,-73.99529885
W 25 St & 6 Ave,2,40.74395411,-73.99144871
W 31 St & 7 Ave,1,40.749156,-73.9916
W 34 St & 11 Ave,3,40.75594159,-74.0021163
W 4 St & 7 Ave S,1,40.73401143,-74.00293877
W 41 St & 8 Ave,1,40.75640548,-73.9900262
W 42 St & Dyer Ave,1,40.75898481399634,-73.99379968643187
W 43 St & 10 Ave,1,40.76009437,-73.99461843
W 45 St & 8 Ave,7,40.75929124,-73.98859651
W 46 St & 11 Ave,1,40.76341379,-73.99667444
W 52 St & 6 Ave,2,40.76132983124814,-73.97982001304626
W 54 St & 9 Ave,1,40.76584941,-73.98690506
W 70 St & Amsterdam Ave,1,40.77748046,-73.98288594
W 76 St & Columbus Ave,1,40.7801839724239,-73.97728532552719
WS Don't Use,536,0.0,0.0
Warren St,9210,40.721123599991515,-74.03805095000334
Warren St & Church St,66,40.714739930000015,-74.00910627
Washington Ave & Park Ave,1,40.69610226,-73.96751037
Washington Pl & Broadway,2,40.72903917,-73.99404649
Washington St,1362,40.72429410000037,-74.03548259999778
Water - Whitehall Plaza,3,40.70255065,-74.0127234
West End Ave & W 94 St,1,40.7941654,-73.974124
West Side Light Rail,408,40.714401999999744,-74.08877230000051
West St & Chambers St,7,40.71754834,-74.01322069000001
West Thames St,1,40.70834698,-74.01713445
William St & Pine St,1,40.70717936,-74.00887308
York St,809,40.716489999999574,-74.04104999999983
