start station name,Number of Riders,start station latitude,start station longitude,month
Grove St PATH,1634,40.71958611647233,-74.0431174635887,February
Exchange Place,953,40.71624690000024,-74.0334587999985,February
Sip Ave,889,40.7307426253068,-74.06378388404845,February
Hamilton Park,819,40.72759596600002,-74.04424731100106,February
Morris Canal,625,40.71241882375734,-74.03852552175522,February
Newport PATH,532,40.72722349999959,-74.0337588999998,February
Newark Ave,504,40.72152514999978,-74.04630454300043,February
City Hall,495,40.717732499999975,-74.04384500000013,February
Van Vorst Park,466,40.71848891999983,-74.04772662500093,February
Warren St,434,40.7211236000002,-74.03805094999939,February
Jersey & 3rd,405,40.723331586464646,-74.04595255851744,February
Jersey & 6th St,393,40.725289107811456,-74.04557168483734,February
Marin Light Rail,393,40.71458403535875,-74.04281705617905,February
Dixon Mills,390,40.72163014263823,-74.04996782541275,February
Brunswick St,389,40.72417649999989,-74.05065639999967,February
Paulus Hook,377,40.71414539999972,-74.0335519,February
Newport Pkwy,329,40.728744800000186,-74.03210820000002,February
Brunswick & 6th,322,40.72601172964638,-74.0503889322281,February
Essex Light Rail,321,40.71277419999979,-74.03648569999977,February
Monmouth and 6th,299,40.72568548362882,-74.0487903356552,February
Columbus Drive,295,40.71835519823238,-74.03891444206238,February
McGinley Square,289,40.72533992535563,-74.06762212514876,February
Liberty Light Rail,276,40.7112422999999,-74.05570129999981,February
Oakland Ave,258,40.737603699999994,-74.05247830000006,February
Manila & 1st,235,40.7216507248801,-74.04288411140442,February
JC Medical Center,226,40.71653978099196,-74.0496379137039,February
Baldwin at Montgomery,152,40.72365890000009,-74.0641942999998,February
Pershing Field,115,40.74267714100005,-74.0517886329999,February
Central Ave,115,40.7467299,-74.04925089999983,February
5 Corners Library,114,40.73496102000952,-74.05950307846071,February
Christ Hospital,108,40.73478581800006,-74.0504436359999,February
Astor Place,100,40.719282200706964,-74.07126188278198,February
Lincoln Park,100,40.72460509988695,-74.07840594649316,February
Hilltop,96,40.73116889999994,-74.05757360000005,February
Lafayette Park,87,40.71346382669198,-74.06285852193831,February
Heights Elevator,72,40.74871594538023,-74.04044330120088,February
Dey St,67,40.73771100000005,-74.066921,February
Riverview Park,58,40.744318699999944,-74.04399090000004,February
North St,56,40.75255900000001,-74.04472500000008,February
Garfield Ave Station,46,40.71046702337975,-74.07003879547119,February
Leonard Gordon Park,44,40.74590996631559,-74.05727148056029,February
NJCU,41,40.71010870000003,-74.08584890000006,February
West Side Light Rail,34,40.714402,-74.08877230000003,February
Columbia Park,20,40.69702989999999,-74.09693659999996,February
Union St,18,40.7182113,-74.08363940000002,February
MLK Light Rail,15,40.71113049999998,-74.0788855,February
Danforth Light Rail,9,40.69263996618329,-74.08801227807997,February
Communipaw & Berry Lane,7,40.71435836870427,-74.06661093235016,February
Bayside Park,3,40.698650544,-74.082079678,February
Bethune Center,1,40.70495751672861,-74.08593088388444,February
