start station name,Number of Riders,start station latitude,start station longitude,month
Grove St PATH,1638,40.719586120001175,-74.04311745999807,January
Exchange Place,946,40.71624690000022,-74.03345879999851,January
Hamilton Park,872,40.727595969999065,-74.04424730999894,January
Sip Ave,780,40.730742629999625,-74.06378388000107,January
Morris Canal,605,40.71241881999966,-74.03852552000104,January
Newport PATH,501,40.727223499999674,-74.03375889999995,January
City Hall,427,40.717732499999784,-74.04384500000013,January
Van Vorst Park,383,40.718488919999835,-74.04772663000033,January
Newark Ave,381,40.72152515000014,-74.0463045399995,January
Jersey & 6th St,372,40.725289109999814,-74.0455716799997,January
Dixon Mills,346,40.721630140000215,-74.04996783000018,January
Jersey & 3rd,341,40.7233315899998,-74.04595256000057,January
Brunswick St,340,40.7241764999999,-74.05065639999978,January
Warren St,332,40.721123600000176,-74.03805094999946,January
McGinley Square,324,40.725339930000175,-74.06762212999944,January
Essex Light Rail,323,40.71277419999979,-74.03648569999976,January
Marin Light Rail,322,40.71458404000023,-74.04281705999989,January
Brunswick & 6th,310,40.726011729999854,-74.05038893000037,January
Monmouth and 6th,306,40.72568547999985,-74.04879033999997,January
Paulus Hook,299,40.71414539999982,-74.0335519,January
Oakland Ave,252,40.73760370000001,-74.05247830000006,January
Columbus Drive,248,40.7183552,-74.03891443999974,January
JC Medical Center,220,40.716539779999955,-74.04963791000034,January
Newport Pkwy,219,40.72874479999996,-74.03210819999958,January
Manila & 1st,205,40.72165072000004,-74.04288411000013,January
Liberty Light Rail,192,40.71124229999992,-74.05570129999982,January
Baldwin at Montgomery,168,40.72365890000011,-74.06419429999974,January
Pershing Field,123,40.74267713999997,-74.05178863000017,January
Lincoln Park,114,40.7246051000001,-74.07840595000012,January
Hilltop,114,40.73116889999992,-74.05757360000003,January
Astor Place,103,40.71928220000006,-74.0712618799999,January
Central Ave,100,40.7467299,-74.04925089999985,January
5 Corners Library,94,40.73496101999993,-74.05950307999981,January
Christ Hospital,82,40.73478582000004,-74.05044363999993,January
Lafayette Park,67,40.71346382999995,-74.06285852000009,January
Dey St,63,40.73771100000004,-74.06692100000001,January
North St,58,40.75255900000001,-74.04472500000007,January
Riverview Park,56,40.744318699999944,-74.04399090000005,January
Heights Elevator,55,40.748715949999976,-74.04044329999991,January
Garfield Ave Station,45,40.71046701999996,-74.0700388,January
Leonard Gordon Park,34,40.74590996999998,-74.05727148000004,January
NJCU,32,40.710108700000006,-74.08584890000002,January
Communipaw & Berry Lane,30,40.71435836999999,-74.06661093000001,January
Union St,30,40.718211299999986,-74.08363940000001,January
West Side Light Rail,29,40.714401999999986,-74.08877230000003,January
Columbia Park,20,40.69702989999999,-74.09693659999996,January
MLK Light Rail,12,40.71113049999999,-74.07888549999998,January
Danforth Light Rail,12,40.69263997000001,-74.08801228000002,January
Bethune Center,1,40.70495752,-74.08593088,January
