start station name,Number of Riders,start station latitude,start station longitude,month
Grove St PATH,3701,40.71958611646852,-74.0431174635887,July
Exchange Place,2277,40.71624690000194,-74.03345879999756,July
Hamilton Park,2194,40.72759596599971,-74.04424731099854,July
Sip Ave,1761,40.73074262530842,-74.06378388404845,July
Newport PATH,1405,40.72722349999874,-74.03375889999828,July
Morris Canal,1346,40.71241882375749,-74.03852552175522,July
Warren St,1293,40.721123600000254,-74.03805094999933,July
Newark Ave,1105,40.721525149999984,-74.04630454299907,July
Newport Pkwy,1105,40.72874479999935,-74.03210820000068,July
Van Vorst Park,1051,40.718488919999814,-74.04772662500028,July
Marin Light Rail,989,40.71458403535941,-74.04281705617905,July
Columbus Drive,952,40.718355198231436,-74.03891444206238,July
Essex Light Rail,934,40.712774200000524,-74.03648570000053,July
City Hall,931,40.71773250000052,-74.04384499999978,July
Paulus Hook,928,40.71414540000052,-74.03355189999968,July
Liberty Light Rail,861,40.71124229999988,-74.0557012999998,July
Brunswick St,821,40.72417649999989,-74.05065640000092,July
Jersey & 3rd,780,40.723331586464845,-74.04595255851744,July
JC Medical Center,701,40.71653978099151,-74.0496379137039,July
Jersey & 6th St,699,40.725289107810696,-74.04557168483734,July
McGinley Square,691,40.72533992535602,-74.06762212514876,July
Brunswick & 6th,689,40.7260117296464,-74.0503889322281,July
Manila & 1st,622,40.72165072488038,-74.04288411140442,July
Dixon Mills,573,40.72163014263812,-74.04996782541275,July
Monmouth and 6th,553,40.725685483629256,-74.0487903356552,July
Baldwin at Montgomery,489,40.72365889999996,-74.06419430000034,July
Oakland Ave,482,40.737603699999745,-74.05247830000006,July
Hilltop,327,40.731168899999865,-74.05757359999946,July
Lafayette Park,319,40.71346382669208,-74.06285852193831,July
Christ Hospital,302,40.73478581800008,-74.05044363599988,July
Lincoln Park,284,40.72460509988692,-74.07840594649316,July
Pershing Field,274,40.74267714099981,-74.05178863300024,July
5 Corners Library,267,40.73496102000952,-74.05950307846071,July
Heights Elevator,227,40.74871594538021,-74.04044330120088,July
Astor Place,219,40.719282200707156,-74.07126188278198,July
North St,206,40.752558999999806,-74.04472499999984,July
Riverview Park,205,40.74431869999992,-74.0439908999998,July
Leonard Gordon Park,178,40.74590996631559,-74.05727148056029,July
Central Ave,165,40.7467299,-74.04925089999976,July
Dey St,142,40.737711000000004,-74.06692099999981,July
Garfield Ave Station,139,40.71046702337966,-74.07003879547119,July
Communipaw & Berry Lane,104,40.714358368704296,-74.06661093235016,July
Union St,86,40.71821129999992,-74.08363939999988,July
Danforth Light Rail,40,40.69263996618331,-74.08801227807997,July
West Side Light Rail,36,40.714402,-74.08877230000003,July
Columbia Park,35,40.69702989999998,-74.09693659999995,July
Bayside Park,35,40.69865054399998,-74.08207967799994,July
NJCU,24,40.710108699999985,-74.08584889999999,July
MLK Light Rail,24,40.711130499999975,-74.07888550000003,July
Bethune Center,2,40.70495751672861,-74.08593088388444,July
