start station name,Number of Riders,start station latitude,start station longitude,month
Grove St PATH,3808,40.719586116468435,-74.0431174635887,June
Exchange Place,2218,40.71624690000191,-74.03345879999758,June
Hamilton Park,2099,40.727595965999534,-74.04424731099907,June
Sip Ave,1605,40.73074262530827,-74.06378388404845,June
Morris Canal,1362,40.71241882375749,-74.03852552175522,June
Newport PATH,1339,40.727223499998765,-74.03375889999832,June
Warren St,1088,40.72112360000025,-74.03805095000006,June
Newport Pkwy,1030,40.72874479999939,-74.03210820000065,June
Newark Ave,994,40.72152514999976,-74.0463045429997,June
Essex Light Rail,987,40.71277420000056,-74.03648570000023,June
Van Vorst Park,975,40.718488919999814,-74.04772662500073,June
City Hall,961,40.717732500000544,-74.04384499999956,June
Paulus Hook,933,40.71414540000052,-74.03355189999964,June
Columbus Drive,901,40.71835519823148,-74.03891444206238,June
Marin Light Rail,876,40.714584035359024,-74.04281705617905,June
Liberty Light Rail,808,40.71124229999989,-74.0557012999998,June
Brunswick St,808,40.72417649999989,-74.05065640000089,June
Jersey & 6th St,725,40.72528910781066,-74.04557168483734,June
Jersey & 3rd,699,40.72333158646482,-74.04595255851744,June
Brunswick & 6th,654,40.7260117296464,-74.0503889322281,June
McGinley Square,653,40.725339925355975,-74.06762212514876,June
JC Medical Center,622,40.71653978099154,-74.0496379137039,June
Monmouth and 6th,568,40.72568548362929,-74.0487903356552,June
Dixon Mills,533,40.72163014263814,-74.04996782541275,June
Manila & 1st,519,40.721650724880185,-74.04288411140442,June
Oakland Ave,509,40.73760369999973,-74.05247830000006,June
Baldwin at Montgomery,423,40.72365890000018,-74.06419430000025,June
Lafayette Park,329,40.71346382669209,-74.06285852193831,June
Hilltop,296,40.731168899999865,-74.05757359999949,June
Pershing Field,287,40.74267714099978,-74.05178863300031,June
Lincoln Park,264,40.72460509988689,-74.07840594649316,June
Christ Hospital,249,40.73478581800008,-74.0504436360001,June
5 Corners Library,239,40.73496102000958,-74.05950307846071,June
Astor Place,206,40.71928220070714,-74.07126188278198,June
Riverview Park,201,40.74431869999991,-74.0439908999998,June
North St,194,40.7525589999998,-74.04472499999984,June
Heights Elevator,182,40.748715945380305,-74.04044330120088,June
Dey St,166,40.73771099999997,-74.06692099999978,June
Leonard Gordon Park,161,40.74590996631559,-74.05727148056029,June
Central Ave,148,40.7467299,-74.04925089999978,June
Garfield Ave Station,123,40.7104670233797,-74.07003879547119,June
Communipaw & Berry Lane,93,40.71435836870432,-74.06661093235016,June
Union St,56,40.71821129999994,-74.08363939999992,June
West Side Light Rail,38,40.71440200000001,-74.08877230000003,June
Danforth Light Rail,35,40.6926399661833,-74.08801227807997,June
Columbia Park,28,40.69702989999998,-74.09693659999995,June
Bayside Park,28,40.69865054399998,-74.08207967799994,June
MLK Light Rail,22,40.711130499999975,-74.07888550000001,June
NJCU,15,40.71010869999999,-74.08584889999999,June
Bethune Center,2,40.70495751672861,-74.08593088388444,June
JCBS Depot,1,40.70965083364061,-74.0686011314392,June
