start station name,Number of Riders,start station latitude,start station longitude,month
Grove St PATH,1603,40.719586116472435,-74.0431174635887,March
Exchange Place,920,40.716246900000144,-74.03345879999856,March
Sip Ave,785,40.73074262530646,-74.06378388404845,March
Hamilton Park,768,40.727595966000074,-74.04424731100103,March
Morris Canal,511,40.712418823757275,-74.03852552175522,March
Newport PATH,487,40.72722349999972,-74.03375890000002,March
City Hall,391,40.71773249999971,-74.04384500000013,March
Newark Ave,384,40.72152515000014,-74.04630454300037,March
Van Vorst Park,374,40.718488919999835,-74.04772662500072,March
Warren St,371,40.72112360000019,-74.03805094999943,March
Jersey & 3rd,342,40.72333158646457,-74.04595255851744,March
Brunswick St,342,40.72417649999989,-74.05065639999978,March
Marin Light Rail,333,40.71458403535875,-74.04281705617905,March
Dixon Mills,309,40.721630142638325,-74.04996782541275,March
Jersey & 6th St,305,40.72528910781145,-74.04557168483734,March
Brunswick & 6th,287,40.72601172964638,-74.0503889322281,March
Monmouth and 6th,284,40.72568548362883,-74.0487903356552,March
Essex Light Rail,279,40.71277419999986,-74.03648569999994,March
Paulus Hook,278,40.714145399999865,-74.0335519,March
McGinley Square,257,40.725339925355705,-74.06762212514876,March
Newport Pkwy,240,40.72874480000002,-74.03210819999968,March
Oakland Ave,234,40.73760370000005,-74.05247830000006,March
Liberty Light Rail,230,40.71124229999991,-74.05570129999981,March
Columbus Drive,226,40.71835519823234,-74.03891444206238,March
Manila & 1st,196,40.721650724880185,-74.04288411140442,March
JC Medical Center,147,40.71653978099197,-74.0496379137039,March
Baldwin at Montgomery,141,40.72365890000006,-74.06419429999985,March
Pershing Field,133,40.74267714100005,-74.0517886329999,March
5 Corners Library,112,40.734961020009514,-74.05950307846071,March
Astor Place,91,40.71928220070698,-74.07126188278198,March
Christ Hospital,88,40.73478581800006,-74.05044363599994,March
Hilltop,88,40.73116889999995,-74.05757360000005,March
Lafayette Park,79,40.71346382669197,-74.06285852193831,March
Central Ave,79,40.7467299,-74.04925089999992,March
Heights Elevator,72,40.74871594538023,-74.04044330120088,March
Lincoln Park,57,40.72460509988694,-74.07840594649316,March
North St,57,40.75255900000001,-74.04472500000008,March
Garfield Ave Station,55,40.710467023379756,-74.07003879547119,March
Dey St,49,40.737711,-74.06692100000006,March
Leonard Gordon Park,44,40.74590996631559,-74.05727148056029,March
Communipaw & Berry Lane,37,40.7143583687043,-74.06661093235016,March
Riverview Park,37,40.744318699999965,-74.04399090000001,March
NJCU,24,40.710108699999985,-74.08584889999999,March
West Side Light Rail,19,40.714401999999986,-74.08877230000002,March
Columbia Park,19,40.69702989999999,-74.09693659999996,March
Danforth Light Rail,12,40.692639966183286,-74.08801227807997,March
MLK Light Rail,10,40.71113049999999,-74.07888549999998,March
Union St,8,40.7182113,-74.08363940000002,March
Bayside Park,4,40.698650544,-74.082079678,March
Bethune Center,3,40.70495751672861,-74.08593088388444,March
