start station name,Number of Riders,start station latitude,start station longitude,month
Grove St PATH,3201,40.71958611646899,-74.0431174635887,May
Exchange Place,1644,40.71624690000147,-74.03345879999782,May
Sip Ave,1356,40.73074262530793,-74.06378388404845,May
Hamilton Park,1352,40.7275959659986,-74.04424731100124,May
Newport PATH,1106,40.727223499998885,-74.03375889999852,May
Morris Canal,1102,40.71241882375746,-74.03852552175522,May
Warren St,857,40.72112360000024,-74.03805095000104,May
Newport Pkwy,837,40.72874479999952,-74.03210820000058,May
Newark Ave,815,40.72152514999927,-74.04630454300049,May
City Hall,810,40.71773250000043,-74.04384500000013,May
Marin Light Rail,805,40.71458403535873,-74.04281705617905,May
Van Vorst Park,795,40.71848891999982,-74.0477266250013,May
Essex Light Rail,760,40.71277420000038,-74.03648570000061,May
Paulus Hook,727,40.71414540000034,-74.0335519,May
Liberty Light Rail,720,40.71124229999988,-74.0557012999998,May
Brunswick St,662,40.72417649999989,-74.05065640000053,May
Columbus Drive,655,40.71835519823176,-74.03891444206238,May
Jersey & 6th St,641,40.72528910781079,-74.04557168483734,May
Jersey & 3rd,627,40.723331586464795,-74.04595255851744,May
Brunswick & 6th,552,40.726011729646395,-74.0503889322281,May
McGinley Square,548,40.72533992535581,-74.06762212514876,May
JC Medical Center,511,40.71653978099159,-74.0496379137039,May
Monmouth and 6th,478,40.72568548362906,-74.0487903356552,May
Dixon Mills,478,40.72163014263817,-74.04996782541275,May
Manila & 1st,428,40.72165072487994,-74.04288411140442,May
Oakland Ave,420,40.737603699999795,-74.05247830000006,May
Baldwin at Montgomery,353,40.72365890000025,-74.06419430000011,May
Hilltop,272,40.73116889999987,-74.05757359999951,May
Lincoln Park,240,40.72460509988684,-74.07840594649316,May
Pershing Field,232,40.74267714099993,-74.05178863299999,May
5 Corners Library,228,40.73496102000961,-74.05950307846071,May
Lafayette Park,206,40.71346382669183,-74.06285852193831,May
Christ Hospital,194,40.73478581800008,-74.05044363600021,May
Heights Elevator,173,40.748715945380305,-74.04044330120088,May
Central Ave,152,40.7467299,-74.04925089999978,May
Astor Place,138,40.71928220070706,-74.07126188278198,May
Dey St,133,40.737711000000026,-74.06692099999982,May
North St,130,40.75255899999991,-74.0447249999999,May
Leonard Gordon Park,116,40.74590996631559,-74.05727148056029,May
Riverview Park,110,40.744318699999916,-74.04399089999988,May
Garfield Ave Station,93,40.71046702337978,-74.07003879547119,May
Communipaw & Berry Lane,72,40.71435836870431,-74.06661093235016,May
Union St,49,40.71821129999995,-74.08363939999992,May
NJCU,46,40.710108700000035,-74.08584890000007,May
MLK Light Rail,29,40.71113049999999,-74.07888550000003,May
Danforth Light Rail,29,40.692639966183286,-74.08801227807997,May
West Side Light Rail,29,40.714401999999986,-74.08877230000003,May
Columbia Park,24,40.69702989999998,-74.09693659999995,May
Bayside Park,23,40.69865054399998,-74.08207967799996,May
Bethune Center,8,40.704957516728605,-74.08593088388444,May
