start station name,Number of Riders,start station latitude,start station longitude,month
Grove St PATH,3121,40.71958611646908,-74.0431174635887,November
Hamilton Park,1869,40.727595965999015,-74.04424731100056,November
Exchange Place,1423,40.71624690000121,-74.03345879999796,November
Sip Ave,1272,40.73074262530779,-74.06378388404845,November
Newport PATH,1069,40.72722349999891,-74.03375889999856,November
Morris Canal,843,40.71241882375741,-74.03852552175522,November
Harborside,735,40.719251700000264,-74.03423399999927,November
Jersey & 3rd,677,40.72333158646481,-74.04595255851744,November
Van Vorst Park,666,40.71848891999982,-74.0477266250012,November
Paulus Hook,655,40.714145400000255,-74.0335519,November
Newport Pkwy,616,40.72874479999977,-74.03210820000045,November
Newark Ave,594,40.721525149999565,-74.04630454300046,November
City Hall,588,40.71773250000016,-74.04384500000013,November
Warren St,588,40.72112360000022,-74.03805095000023,November
Jersey & 6th St,562,40.725289107810944,-74.04557168483734,November
Brunswick & 6th,544,40.726011729646395,-74.0503889322281,November
Essex Light Rail,525,40.71277420000004,-74.03648569999989,November
Brunswick St,521,40.72417649999989,-74.05065640000001,November
Marin Light Rail,511,40.71458403535874,-74.04281705617905,November
Washington St,470,40.72429410000031,-74.03548259999998,November
Columbus Drive,469,40.718355198232175,-74.03891444206238,November
McGinley Square,417,40.72533992535549,-74.06762212514876,November
Monmouth and 6th,415,40.72568548362884,-74.0487903356552,November
Manila & 1st,386,40.721650724879865,-74.04288411140442,November
JC Medical Center,372,40.716539780991695,-74.0496379137039,November
Dixon Mills,368,40.721630142638254,-74.04996782541275,November
Liberty Light Rail,339,40.711242299999896,-74.05570129999981,November
Oakland Ave,335,40.73760369999987,-74.05247830000006,November
Baldwin at Montgomery,252,40.7236589000002,-74.06419429999977,November
Pershing Field,233,40.74267714099993,-74.05178863299999,November
York St,218,40.71648999999992,-74.04104999999984,November
Journal Square,211,40.733669999999826,-74.0625,November
Astor Place,202,40.71928220070714,-74.07126188278198,November
Lincoln Park,174,40.72460509988676,-74.07840594649316,November
Christ Hospital,169,40.73478581800008,-74.05044363600015,November
Hilltop,159,40.7311688999999,-74.05757359999977,November
Leonard Gordon Park,158,40.74590996631559,-74.05727148056029,November
Lafayette Park,152,40.71346382669187,-74.06285852193831,November
Heights Elevator,137,40.74871594538029,-74.04044330120088,November
Riverview Park,119,40.744318699999916,-74.04399089999987,November
5 Corners Library,110,40.73496102000951,-74.05950307846071,November
Dey St,95,40.7377110000001,-74.0669209999999,November
Communipaw & Berry Lane,77,40.71435836870431,-74.06661093235016,November
Garfield Ave Station,48,40.71046702337975,-74.07003879547119,November
Union St,40,40.718211299999965,-74.08363939999995,November
NJCU,30,40.7101087,-74.0858489,November
MLK Light Rail,18,40.71113049999998,-74.07888550000001,November
West Side Light Rail,11,40.714402,-74.08877229999999,November
Columbia Park,9,40.6970299,-74.09693659999999,November
Bayside Park,6,40.698650544,-74.082079678,November
Danforth Light Rail,3,40.69263996618329,-74.08801227807997,November
Bethune Center,1,40.70495751672861,-74.08593088388444,November
