start station name,Number of Riders,start station latitude,start station longitude,month
Grove St PATH,4440,40.719586116468015,-74.0431174635887,October
Hamilton Park,2528,40.727595966000244,-74.04424731099701,October
Exchange Place,2076,40.71624690000183,-74.03345879999762,October
Sip Ave,1705,40.73074262530837,-74.06378388404845,October
Newport PATH,1487,40.727223499998715,-74.03375889999822,October
Morris Canal,1384,40.71241882375749,-74.03852552175522,October
Van Vorst Park,1062,40.718488919999814,-74.04772662500022,October
Paulus Hook,1001,40.71414540000056,-74.03355189999917,October
Newark Ave,960,40.721525149999685,-74.04630454299993,October
City Hall,944,40.71773250000053,-74.04384499999968,October
Jersey & 3rd,900,40.72333158646487,-74.04595255851744,October
Harborside,899,40.71925170000027,-74.03423399999929,October
Essex Light Rail,897,40.7127742000005,-74.03648570000077,October
Newport Pkwy,878,40.72874479999948,-74.03210820000061,October
Warren St,866,40.72112360000024,-74.03805095000105,October
Brunswick St,843,40.72417649999989,-74.05065640000095,October
Marin Light Rail,828,40.71458403535883,-74.04281705617905,October
Jersey & 6th St,774,40.725289107810596,-74.04557168483734,October
Brunswick & 6th,727,40.7260117296464,-74.0503889322281,October
Columbus Drive,704,40.718355198231684,-74.03891444206238,October
JC Medical Center,647,40.716539780991525,-74.0496379137039,October
Liberty Light Rail,637,40.71124229999988,-74.0557012999998,October
McGinley Square,620,40.725339925355925,-74.06762212514876,October
Manila & 1st,612,40.72165072488036,-74.04288411140442,October
Dixon Mills,604,40.721630142638105,-74.04996782541275,October
Washington St,584,40.72429410000033,-74.03548259999933,October
Monmouth and 6th,542,40.725685483629235,-74.0487903356552,October
Oakland Ave,512,40.73760369999973,-74.05247830000006,October
Baldwin at Montgomery,394,40.72365890000026,-74.0641943000002,October
Pershing Field,352,40.74267714099967,-74.05178863300057,October
Christ Hospital,317,40.73478581800008,-74.05044363599983,October
Journal Square,313,40.73366999999976,-74.0625,October
Hilltop,288,40.731168899999865,-74.0575735999995,October
Lafayette Park,265,40.713463826691985,-74.06285852193831,October
Astor Place,264,40.719282200707184,-74.07126188278198,October
Lincoln Park,263,40.72460509988689,-74.07840594649316,October
Heights Elevator,259,40.74871594538012,-74.04044330120088,October
York St,245,40.71649000000001,-74.04104999999984,October
Leonard Gordon Park,245,40.74590996631559,-74.05727148056029,October
Riverview Park,232,40.74431870000003,-74.04399089999987,October
5 Corners Library,198,40.734961020009685,-74.05950307846071,October
Dey St,161,40.737710999999976,-74.06692099999978,October
Communipaw & Berry Lane,112,40.71435836870427,-74.06661093235016,October
Garfield Ave Station,103,40.71046702337976,-74.07003879547119,October
NJCU,64,40.71010870000005,-74.0858489000001,October
Union St,60,40.718211299999936,-74.08363939999991,October
MLK Light Rail,31,40.711130499999996,-74.07888550000003,October
West Side Light Rail,28,40.714401999999986,-74.08877230000003,October
Danforth Light Rail,19,40.69263996618328,-74.08801227807997,October
Bayside Park,14,40.69865054399999,-74.082079678,October
Columbia Park,13,40.697029900000004,-74.09693659999996,October
Bethune Center,12,40.704957516728605,-74.08593088388444,October
JCBS Depot,6,40.70965083364061,-74.0686011314392,October
