start station name,Number of Riders,start station latitude,start station longitude,month
Grove St PATH,4079,40.71958611646824,-74.0431174635887,September
Hamilton Park,2415,40.72759596600008,-74.04424731099748,September
Exchange Place,2146,40.71624690000187,-74.0334587999976,September
Sip Ave,1672,40.73074262530834,-74.06378388404845,September
Newport PATH,1487,40.727223499998715,-74.03375889999822,September
Morris Canal,1402,40.71241882375749,-74.03852552175522,September
Van Vorst Park,1079,40.718488919999814,-74.04772662500014,September
Newark Ave,1061,40.721525149999906,-74.04630454299931,September
Warren St,1008,40.72112360000025,-74.03805095000041,September
Newport Pkwy,951,40.72874479999943,-74.03210820000062,September
Marin Light Rail,922,40.714584035359195,-74.04281705617905,September
Paulus Hook,921,40.71414540000051,-74.03355189999972,September
Essex Light Rail,917,40.71277420000052,-74.03648570000064,September
City Hall,910,40.71773250000051,-74.04384499999993,September
Brunswick St,882,40.72417649999989,-74.05065640000102,September
Jersey & 3rd,841,40.72333158646486,-74.04595255851744,September
Columbus Drive,779,40.71835519823159,-74.03891444206238,September
Liberty Light Rail,770,40.71124229999988,-74.0557012999998,September
Jersey & 6th St,766,40.7252891078106,-74.04557168483734,September
Brunswick & 6th,732,40.7260117296464,-74.0503889322281,September
McGinley Square,645,40.72533992535596,-74.06762212514876,September
JC Medical Center,643,40.71653978099153,-74.0496379137039,September
Manila & 1st,607,40.721650724880355,-74.04288411140442,September
Dixon Mills,536,40.72163014263813,-74.04996782541275,September
Oakland Ave,514,40.73760369999973,-74.05247830000006,September
Monmouth and 6th,468,40.72568548362903,-74.0487903356552,September
Baldwin at Montgomery,384,40.72365890000026,-74.06419430000018,September
Pershing Field,335,40.74267714099969,-74.05178863300051,September
Hilltop,293,40.731168899999865,-74.0575735999995,September
Heights Elevator,287,40.748715945380056,-74.04044330120088,September
Christ Hospital,287,40.73478581800008,-74.05044363599993,September
Riverview Park,278,40.74431870000016,-74.04399090000014,September
Lafayette Park,269,40.71346382669199,-74.06285852193831,September
Lincoln Park,261,40.72460509988688,-74.07840594649316,September
Astor Place,249,40.71928220070717,-74.07126188278198,September
5 Corners Library,234,40.73496102000959,-74.05950307846071,September
York St,225,40.71648999999994,-74.04104999999984,September
Leonard Gordon Park,199,40.74590996631559,-74.05727148056029,September
Dey St,163,40.737710999999976,-74.06692099999978,September
Communipaw & Berry Lane,135,40.7143583687042,-74.06661093235016,September
Garfield Ave Station,123,40.7104670233797,-74.07003879547119,September
Union St,65,40.718211299999936,-74.08363939999991,September
NJCU,57,40.71010870000004,-74.08584890000009,September
MLK Light Rail,31,40.711130499999996,-74.07888550000003,September
West Side Light Rail,27,40.71440199999998,-74.08877230000003,September
Danforth Light Rail,21,40.69263996618328,-74.08801227807997,September
Columbia Park,20,40.69702989999999,-74.09693659999996,September
Bayside Park,13,40.69865054399999,-74.082079678,September
Bethune Center,10,40.704957516728605,-74.08593088388444,September
