start station name,Number of Riders,start station latitude,start station longitude
5 Corners Library,2125,40.73496102000833,-74.05950307852878
Astor Place,2147,40.71928220067188,-74.07126188264851
Baldwin at Montgomery,3686,40.72365889999933,-74.06419430000176
Bayside Park,182,40.69865054399998,-74.08207967800027
Bethune Center,61,40.70495751678224,-74.08593088382077
Brunswick & 6th,6264,40.726011729665544,-74.05038893211791
Brunswick St,7382,40.72417649999737,-74.0506563999942
Central Ave,879,40.74672990000067,-74.04925090000144
Christ Hospital,2393,40.734785818068616,-74.05044363613682
City Hall,8422,40.7177324999952,-74.04384499998825
Columbia Park,256,40.69702990000024,-74.0969366000002
Columbus Drive,7009,40.718355198298866,-74.03891444198945
Communipaw & Berry Lane,908,40.71435836874683,-74.06661093227251
Danforth Light Rail,238,40.692639966375665,-74.08801227817679
Dey St,1381,40.73771100000108,-74.06692100000133
Dixon Mills,5395,40.721630142474616,-74.04996782570684
Essex Light Rail,7914,40.712774199997874,-74.03648570000173
Exchange Place,19393,40.71624690000314,-74.03345880003391
Garfield Ave Station,1109,40.710467023242835,-74.07003879565495
Grove St PATH,35856,40.71958611665097,-74.04311746342492
Hamilton Park,19810,40.727595966166504,-74.04424731096398
Harborside,2076,40.71925169999866,-74.03423400000102
Heights Elevator,1945,40.74871594551034,-74.04044330116693
Hilltop,2541,40.73116890000155,-74.0575736000022
JC Medical Center,5433,40.716539780949184,-74.04963791355395
JCBS Depot,7,40.709650833640616,-74.0686011314392
Jersey & 3rd,7366,40.723331586623054,-74.04595255858615
Jersey & 6th St,6866,40.72528910793615,-74.0455716845752
Journal Square,666,40.73367000000041,-74.0625
Lafayette Park,2331,40.71346382678619,-74.0628585218826
Leonard Gordon Park,1643,40.74590996639217,-74.0572714805487
Liberty Light Rail,6623,40.7112422999979,-74.05570129999253
Lincoln Park,2349,40.72460509989057,-74.07840594666335
MLK Light Rail,245,40.71113049999989,-74.07888549999956
Manila & 1st,5074,40.721650724684,-74.04288411134768
Marin Light Rail,7918,40.714584035545315,-74.0428170563344
McGinley Square,5898,40.725339925608665,-74.06762212541527
Monmouth and 6th,5236,40.725685483418225,-74.04879033590906
Morris Canal,12251,40.71241882356275,-74.0385255216684
NJCU,416,40.71010869999967,-74.08584889999933
Newark Ave,9031,40.72152515000174,-74.04630454287413
Newport PATH,12516,40.727223500012414,-74.03375890000994
Newport Pkwy,8610,40.72874480000624,-74.03210820000648
North St,820,40.7525590000003,-74.04472499999977
Oakland Ave,4677,40.73760369999972,-74.05247830000006
Paulus Hook,8036,40.714145399998195,-74.03355189999799
Pershing Field,2779,40.742677140954505,-74.05178863286538
Riverview Park,1734,40.74431870000125,-74.04399089999859
Sip Ave,15598,40.73074262554454,-74.06378388384616
Union St,606,40.71821130000051,-74.08363939999983
Van Vorst Park,9035,40.718488920009165,-74.0477266252071
Warren St,9206,40.72112359999153,-74.03805095000332
Washington St,1306,40.72429410000037,-74.03548259999782
West Side Light Rail,323,40.714401999999744,-74.08877230000027
York St,957,40.71648999999947,-74.04104999999983
